Date,Amount,Category,Description
2026-01-03,450.0,Food,Groceries
2026-01-05,120.0,Transport,Auto fare
2026-01-08,800.0,Utilities,Electricity bill
2026-01-12,300.0,Entertainment,Movie
2026-01-15,650.0,Food,Restaurant
2026-01-18,200.0,Transport,Bus pass
2026-01-22,900.0,Utilities,Internet bill
2026-01-25,250.0,Entertainment,Games
2026-02-02,500.0,Food,Groceries
2026-02-06,150.0,Transport,Cab
2026-02-10,700.0,Utilities,Water and electricity
2026-02-14,400.0,Entertainment,Dinner
2026-02-18,550.0,Food,Restaurant
2026-02-21,180.0,Transport,Bus
2026-02-25,1000.0,Utilities,Phone and internet
2026-03-01,350.0,Food,Lunch
2026-03-01,350.0,Food,Lunch
